us_id,us_pass,us_fname,us_lname,us_bday,us_doc,us_doc_type,us_username,us_role,us_program_code,us_program_name,us_faculty_code,us_faculty_name,us_created_at,us_active
50,password50,Fabio,Jaramillo,1985-12-29,41101825,CC,carvajalmanuel4,Profesor,11,Ingenieria de sistemas,1,Ingeniería,2022-07-02 10:01:49,1
51,password51,Esneider,Cuéllar,1987-04-08,29124151,CC,cecilia333,Estudiante,17,Ingenieria quimica,1,Ingeniería,2018-03-23 21:52:15,1
52,password52,Julia,Sepúlveda,1997-02-23,67920282,CC,zperez2,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2021-04-21 03:51:05,1
53,password53,Lucía,López,2002-12-06,23717112,CE,luisosorio15,Profesor,19,Fonoaudiologia,3,Medicina,2017-09-02 23:51:27,1
54,password54,Víctor,Reyes,2004-03-02,71035358,CC,victoriagaitan3,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2017-08-12 18:27:12,1
55,password55,Sebastián,Cano,1994-03-09,36253339,CC,jbuitrago8,Estudiante,16,Ingenieria mecatronica,1,Ingeniería,2019-02-28 23:09:46,1
56,password56,Dario,Álvarez,2005-12-28,48023466,CC,amandatoro4,Estudiante,10,Ingenieria civil,1,Ingeniería,2021-07-29 03:10:47,1
57,password57,Edgar,Saavedra,2004-06-03,59674242,CC,arley554,Estudiante,9,Ingenieria agricola,1,Ingeniería,2016-08-01 05:49:44,1
58,password58,Nohora,Franco,1993-02-24,15367162,CE,robinson0117,Estudiante,3,Estadistica,2,Ciencias,2017-05-26 08:55:44,1
59,password59,Yerson,Arango,2002-02-07,75454897,CC,jairo7612,Estudiante,17,Ingenieria quimica,1,Ingeniería,2016-09-26 18:31:24,1
60,password60,Magnolia,Rodríguez,1984-06-07,21328414,CC,qcardona20,Profesor,22,Terapia ocupacional,3,Medicina,2021-09-21 19:54:04,1
61,password61,Jhon,Barrios,1996-07-04,20033757,CC,hernangonzalez2,Estudiante,19,Fonoaudiologia,3,Medicina,2022-01-15 00:22:16,1
62,password62,Isabel,Barrera,1997-11-02,88398872,CC,fprieto3,Profesor,18,Fisioterapia,3,Medicina,2018-01-12 00:15:18,1
63,password63,María,Palacio,2002-07-29,71168556,CC,orjuelapaulina18,Estudiante,19,Fonoaudiologia,3,Medicina,2019-12-06 14:20:40,1
64,password64,Victoria,Giraldo,2006-04-02,69482690,TI,davidalvarez13,Estudiante,9,Ingenieria agricola,1,Ingeniería,2020-07-03 01:22:45,1
65,password65,Fernando,Rodríguez,1988-10-29,28071267,CE,cuestafabio19,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2021-10-13 18:21:04,1
66,password66,Jhon,Aguirre,1983-11-03,64299766,CC,trujillopablo12,Estudiante,16,Ingenieria mecatronica,1,Ingeniería,2017-10-29 04:49:40,1
67,password67,Yineth,Hernández,1985-11-23,50431905,CC,fernandezfabiola3,Estudiante,21,Nutrición y dietetica,3,Medicina,2019-02-24 05:01:54,1
68,password68,Andrés,Ortiz,1986-06-17,44292149,CC,nchavez6,Estudiante,14,Ingenieria industrial,1,Ingeniería,2017-06-26 01:58:48,1
69,password69,Dario,González,2006-01-05,94597727,TI,tcastillo13,Estudiante,21,Nutrición y dietetica,3,Medicina,2018-10-26 05:56:17,1
70,password70,Linda,Romero,1987-06-16,47679090,CE,nortiz8,Estudiante,10,Ingenieria civil,1,Ingeniería,2018-10-26 18:54:31,1
71,password71,Miguel,Castillo,1998-04-09,83549974,CC,libiaarias3,Estudiante,18,Fisioterapia,3,Medicina,2018-10-14 08:32:07,1
72,password72,Jesús,Jiménez,2003-05-24,53871852,CC,lopezrocio19,Estudiante,3,Estadistica,2,Ciencias,2017-09-02 15:26:08,1
73,password73,Lucía,Camacho,2005-12-12,63722998,CC,miguel7618,Estudiante,13,Ingenieria electronica,1,Ingeniería,2018-09-28 02:00:05,1
74,password74,Andrea,Cantillo,1987-09-15,52983209,CE,czapata6,Profesor,15,Ingenieria mecanica,1,Ingeniería,2019-01-27 17:11:25,1
75,password75,Ana,Rengifo,2004-03-04,55740025,CC,avilamateo5,Estudiante,19,Fonoaudiologia,3,Medicina,2022-11-01 18:43:30,1
76,password76,Hugo,González,1989-06-16,87963966,CC,castroalexander13,Estudiante,22,Terapia ocupacional,3,Medicina,2017-12-12 11:40:28,1
77,password77,Rosa,Marín,1994-12-19,78264502,CC,mariaperez9,Estudiante,13,Ingenieria electronica,1,Ingeniería,2022-11-19 00:33:18,1
78,password78,Deisy,Castillo,1988-05-25,52288712,CE,diazalejandro2,Estudiante,17,Ingenieria quimica,1,Ingeniería,2023-02-17 23:39:24,1
79,password79,Mónica,Jiménez,1986-06-20,77046787,CC,maria2713,Estudiante,22,Terapia ocupacional,3,Medicina,2023-03-19 04:02:56,1
80,password80,Jairo,Camargo,1986-10-14,17721102,CC,lroa9,Estudiante,9,Ingenieria agricola,1,Ingeniería,2022-09-18 17:03:28,1
81,password81,Zoraida,Ramos,1989-01-21,20205699,CC,libardomunoz17,Estudiante,14,Ingenieria industrial,1,Ingeniería,2019-08-22 11:28:49,1
82,password82,Johana,Salcedo,2002-11-11,38790011,CC,mercedeshernandez16,Profesor,16,Ingenieria mecatronica,1,Ingeniería,2020-07-25 10:06:54,1
83,password83,Erika,Villamizar,1992-01-30,53623483,CC,fernandezenrique7,Estudiante,21,Nutrición y dietetica,3,Medicina,2022-12-27 01:46:28,1
84,password84,Vicente,García,1983-10-12,30453733,CC,albertolara16,Estudiante,15,Ingenieria mecanica,1,Ingeniería,2018-05-21 17:45:44,1
85,password85,Leidy,Jiménez,2007-04-08,95387937,TI,oscar230,Estudiante,3,Estadistica,2,Ciencias,2016-08-20 05:37:37,1
86,password86,Silvio,Medina,1997-09-25,14942541,CC,rosalbaardila17,Profesor,22,Terapia ocupacional,3,Medicina,2018-05-19 01:31:19,1
87,password87,Inés,Acosta,1993-11-05,16243150,CC,jose7210,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2023-04-26 09:10:05,1
88,password88,Paola,López,1988-03-03,18755646,CC,alarcontatiana11,Estudiante,15,Ingenieria mecanica,1,Ingeniería,2020-01-31 01:37:54,1
89,password89,Fredy,Villegas,1995-01-11,43252604,CC,humbertocarmona14,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2018-03-11 18:53:45,1
90,password90,Paola,Vargas,1986-09-11,85195651,CC,mauricioalvarado2,Estudiante,22,Terapia ocupacional,3,Medicina,2020-09-12 07:04:04,1
91,password91,Alejandra,Nieto,1999-06-17,94262645,CC,eduardo2413,Estudiante,18,Fisioterapia,3,Medicina,2023-05-27 03:45:21,1
92,password92,Dary,Pardo,1997-12-21,91349736,CE,andresvillamil10,Estudiante,3,Estadistica,2,Ciencias,2017-04-21 05:54:13,1
93,password93,Mauricio,Gonzáles,1993-01-07,63523357,CC,antonio7015,Estudiante,14,Ingenieria industrial,1,Ingeniería,2019-09-06 08:53:41,1
94,password94,Jairo,Arias,2000-10-15,63177585,CC,rgaleano0,Estudiante,13,Ingenieria electronica,1,Ingeniería,2021-04-27 00:19:06,1
95,password95,Antonio,Torres,2001-07-31,43476996,CC,santoseider0,Estudiante,19,Fonoaudiologia,3,Medicina,2022-02-18 07:26:33,1
96,password96,Sergio,López,1998-02-17,24985671,CC,johanhurtado3,Estudiante,20,Medicina,3,Medicina,2022-03-05 23:04:14,1
97,password97,Antonio,Gómez,2002-09-02,31301995,CC,eduardoarias10,Profesor,10,Ingenieria civil,1,Ingeniería,2021-03-17 20:35:51,1
98,password98,Nubia,Rojas,1986-11-28,38643423,CC,menaliliana11,Estudiante,18,Fisioterapia,3,Medicina,2017-10-26 00:04:54,1
99,password99,Rodrigo,Medina,1993-12-01,60364135,CC,gonzalezmaria0,Estudiante,20,Medicina,3,Medicina,2021-03-03 04:55:46,1
100,password100,Jhoana,Restrepo,1998-01-25,40711769,CC,jonathan242,Estudiante,21,Nutrición y dietetica,3,Medicina,2021-10-21 09:17:48,1
101,password101,Humberto,Acevedo,1983-10-09,80647818,CC,xpinzon7,Estudiante,9,Ingenieria agricola,1,Ingeniería,2018-05-13 09:09:10,1
102,password102,María,Martínez,2002-06-12,85881746,CC,maria1413,Estudiante,9,Ingenieria agricola,1,Ingeniería,2018-02-02 18:04:28,1
103,password103,Sonia,Roa,2000-04-21,14729682,CC,gabrielgonzalez11,Estudiante,22,Terapia ocupacional,3,Medicina,2016-09-11 23:20:00,1
104,password104,Omaira,Vanegas,1984-06-02,61542133,CC,andreadiaz3,Estudiante,3,Estadistica,2,Ciencias,2021-10-15 07:39:54,1
105,password105,Carolina,Martínez,1995-11-03,54718569,CC,lopezlilia14,Estudiante,15,Ingenieria mecanica,1,Ingeniería,2017-12-01 17:15:56,1
106,password106,Eduardo,Mosquera,1984-10-21,73180790,CC,fbejarano19,Estudiante,3,Estadistica,2,Ciencias,2023-04-18 01:37:11,1
107,password107,Antonio,Ochoa,2003-02-18,20352383,CC,carmenvergara7,Profesor,15,Ingenieria mecanica,1,Ingeniería,2022-02-22 21:36:59,1
108,password108,Elena,Ramírez,1987-12-06,21157458,CC,sojeda19,Estudiante,16,Ingenieria mecatronica,1,Ingeniería,2022-10-20 05:32:23,1
109,password109,Carolina,Núñez,1999-03-27,57585368,CC,gserrano19,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2021-01-25 17:25:00,1
110,password110,Marina,Orjuela,1995-06-28,32950105,CC,bgonzalez10,Estudiante,22,Terapia ocupacional,3,Medicina,2023-06-10 21:39:27,1
111,password111,Edwar,Herrera,2007-02-02,53774915,TI,fernanda1310,Estudiante,3,Estadistica,2,Ciencias,2019-12-24 02:49:48,1
112,password112,Nelcy,Gutiérrez,1999-06-26,27221687,CC,arturogomez19,Estudiante,9,Ingenieria agricola,1,Ingeniería,2019-05-03 12:28:11,1
113,password113,Andrea,Espinosa,2004-02-23,31955984,CC,henaofelipe8,Estudiante,20,Medicina,3,Medicina,2017-05-10 20:30:40,1
114,password114,Isabel,García,1991-07-25,77387610,CC,olopez14,Profesor,11,Ingenieria de sistemas,1,Ingeniería,2021-07-12 10:50:25,1
115,password115,Xiomara,Salas,1994-12-15,60163172,CC,lucila4212,Estudiante,14,Ingenieria industrial,1,Ingeniería,2021-02-08 03:14:28,1
116,password116,Patricia,Nieto,2005-01-31,55187166,CC,leidy1814,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2018-04-21 01:05:41,1
117,password117,Stiven,Cano,1999-06-11,17035548,CC,cestrada8,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2020-09-17 14:16:27,1
118,password118,Jesús,Herrera,1991-05-23,20520241,CC,cesarsandoval4,Profesor,12,Ingenieria electrica,1,Ingeniería,2021-04-18 13:38:39,1
119,password119,Fernanda,Fonseca,1988-08-18,45435470,CC,guerrafidel20,Estudiante,15,Ingenieria mecanica,1,Ingeniería,2023-05-24 16:45:45,1
120,password120,Tulia,Sandoval,1996-10-08,21700091,CC,carlossanabria0,Estudiante,3,Estadistica,2,Ciencias,2020-08-12 16:02:26,1
121,password121,Dario,Daza,1999-04-16,21000272,CC,castillocarolina3,Estudiante,20,Medicina,3,Medicina,2022-05-19 14:06:29,1
122,password122,Alfonso,Perea,2006-07-13,16955813,TI,mariaarevalo17,Estudiante,9,Ingenieria agricola,1,Ingeniería,2017-01-30 20:44:48,1
123,password123,Guillermo,León,1987-09-01,37576080,CC,cuellarluz10,Profesor,16,Ingenieria mecatronica,1,Ingeniería,2018-02-27 02:53:34,1
124,password124,Enrique,Valencia,1997-12-15,89476065,CC,bblanco9,Estudiante,14,Ingenieria industrial,1,Ingeniería,2019-07-15 16:42:52,1
125,password125,Julia,Díaz,1999-03-18,68449054,CC,lorenaacosta5,Profesor,20,Medicina,3,Medicina,2018-04-08 02:00:09,1
126,password126,Yeimy,Angarita,1993-12-03,64263248,CC,andresmosquera2,Estudiante,12,Ingenieria electrica,1,Ingeniería,2017-01-01 09:24:42,1
127,password127,Elena,Lozano,1991-10-03,50173160,CC,clara0612,Estudiante,10,Ingenieria civil,1,Ingeniería,2022-11-03 02:14:38,1
128,password128,Fernando,Cardona,2007-02-27,85041701,TI,brestrepo11,Estudiante,21,Nutrición y dietetica,3,Medicina,2018-06-29 09:46:09,1
129,password129,Alfonso,Rodríguez,2004-07-04,83021049,CC,cpalacio15,Estudiante,18,Fisioterapia,3,Medicina,2017-08-23 00:30:27,1
130,password130,Juan,Álvarez,1995-10-23,96215550,CC,uvillegas4,Estudiante,18,Fisioterapia,3,Medicina,2018-05-07 07:16:45,1
131,password131,José,Benítez,1994-09-25,72781918,CC,imarin15,Estudiante,3,Estadistica,2,Ciencias,2022-05-07 03:37:21,1
132,password132,Alberto,Córdoba,1992-09-20,19685845,CC,carlos071,Profesor,21,Nutrición y dietetica,3,Medicina,2019-05-27 21:08:10,1
133,password133,Isabel,Martínez,2005-05-14,85267075,CC,gabriela4419,Estudiante,9,Ingenieria agricola,1,Ingeniería,2019-04-03 15:51:40,1
134,password134,Humberto,Pabón,1992-12-29,12097366,CC,josegarcia2,Estudiante,22,Terapia ocupacional,3,Medicina,2017-10-27 00:47:06,1
135,password135,María,Mendoza,1987-12-15,71517181,CC,luzospina12,Estudiante,12,Ingenieria electrica,1,Ingeniería,2016-11-21 10:16:58,1
136,password136,María,Vallejo,1988-01-05,97073569,CC,albertozapata5,Estudiante,21,Nutrición y dietetica,3,Medicina,2022-06-21 13:42:03,1
137,password137,Iván,Rengifo,1986-02-25,14971005,CC,jmanrique20,Estudiante,19,Fonoaudiologia,3,Medicina,2022-05-13 17:16:14,1
138,password138,Miguel,Ruiz,2005-08-10,25719627,CC,castillojorge3,Profesor,17,Ingenieria quimica,1,Ingeniería,2018-09-08 16:49:21,1
139,password139,Ana,Ibarra,1991-06-15,65443043,CC,jimenezlorena8,Estudiante,17,Ingenieria quimica,1,Ingeniería,2021-06-25 22:26:00,1
140,password140,Javier,Correa,2007-04-29,15520996,TI,john8314,Profesor,17,Ingenieria quimica,1,Ingeniería,2018-12-20 02:22:09,1
141,password141,Rocío,Barragán,1996-01-06,41744190,CE,andressanchez5,Estudiante,9,Ingenieria agricola,1,Ingeniería,2020-10-29 10:49:43,1
142,password142,Karina,Castro,2003-04-05,21986056,CC,bedoyafabian12,Estudiante,21,Nutrición y dietetica,3,Medicina,2022-09-04 01:11:00,1
143,password143,Edgar,Hurtado,2004-10-01,54380853,CC,aidamedina10,Estudiante,14,Ingenieria industrial,1,Ingeniería,2021-11-28 21:37:36,1
144,password144,María,Portilla,1983-10-26,72910196,CC,wherrera4,Estudiante,22,Terapia ocupacional,3,Medicina,2019-01-16 22:13:42,1
145,password145,Armando,Alfonso,2000-06-11,39592446,CC,ragudelo19,Profesor,3,Estadistica,2,Ciencias,2019-04-28 19:55:37,1
146,password146,Elvia,Castaño,1998-01-14,30823637,CC,alvaronieto3,Estudiante,19,Fonoaudiologia,3,Medicina,2022-02-04 08:13:32,1
147,password147,Jorge,Carvajal,2005-12-21,71604695,CC,lgomez10,Estudiante,9,Ingenieria agricola,1,Ingeniería,2017-09-19 10:08:50,1
148,password148,Alejandro,Andrade,1984-09-23,49325754,CC,valenciaorlando16,Estudiante,18,Fisioterapia,3,Medicina,2019-05-11 08:12:42,1
149,password149,Olga,Pérez,1984-02-20,79616983,CE,andrea574,Estudiante,17,Ingenieria quimica,1,Ingeniería,2022-07-05 21:14:19,1
150,password150,Yina,Mercado,2005-03-24,44174480,CC,amartinez0,Estudiante,10,Ingenieria civil,1,Ingeniería,2018-10-18 17:34:28,1
151,password151,Patricia,Guzmán,2006-01-05,36989609,TI,fcampo18,Profesor,19,Fonoaudiologia,3,Medicina,2018-08-03 13:52:10,1
152,password152,Javier,López,2006-01-08,92126826,TI,ohernandez4,Estudiante,3,Estadistica,2,Ciencias,2022-06-27 05:46:24,1
153,password153,Jhon,Pérez,2002-04-06,94228318,CC,vgonzalez5,Profesor,11,Ingenieria de sistemas,1,Ingeniería,2020-11-22 05:36:30,1
154,password154,Rosa,Muñoz,1992-12-04,34055203,CC,johanna627,Estudiante,22,Terapia ocupacional,3,Medicina,2019-06-02 02:15:14,1
155,password155,Sandra,Gómez,1995-09-12,87994193,CC,yeferson719,Profesor,3,Estadistica,2,Ciencias,2018-06-04 02:01:27,1
156,password156,Alejandro,Rodríguez,2000-05-23,71830562,CC,miriam625,Estudiante,19,Fonoaudiologia,3,Medicina,2017-08-29 06:58:30,1
157,password157,Rubén,Londoño,2002-10-09,41396271,CC,vhenao6,Profesor,13,Ingenieria electronica,1,Ingeniería,2017-12-15 12:57:00,1
158,password158,Cecilia,Jiménez,1991-06-16,21041975,CC,zgonzalez2,Estudiante,22,Terapia ocupacional,3,Medicina,2017-01-06 02:25:12,1
159,password159,Sebastián,Mosquera,2001-06-29,71153611,CC,leonel372,Estudiante,15,Ingenieria mecanica,1,Ingeniería,2022-09-26 15:38:43,1
160,password160,Elizabeth,Salazar,2004-06-20,19107227,CC,fernando135,Profesor,20,Medicina,3,Medicina,2021-09-21 21:12:36,1
161,password161,Cecilia,Osorio,1984-06-21,54801674,CC,jhan9912,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2022-08-30 04:19:55,1
162,password162,Jorge,Díaz,1990-12-06,14815136,CC,trujilloricardo13,Estudiante,17,Ingenieria quimica,1,Ingeniería,2023-01-15 00:01:55,1
163,password163,María,González,2006-03-15,29198077,TI,ofeliarodriguez9,Estudiante,20,Medicina,3,Medicina,2021-06-09 19:54:46,1
164,password164,Nayibe,León,2003-07-31,56236763,CE,torresfabio16,Estudiante,9,Ingenieria agricola,1,Ingeniería,2022-04-22 05:44:02,1
165,password165,Alexander,Bernal,2002-05-06,98697673,CE,jaramillooscar4,Estudiante,14,Ingenieria industrial,1,Ingeniería,2018-06-04 11:22:53,1
166,password166,Alberto,Cuéllar,1988-12-30,97042430,CC,fernandopalacio2,Estudiante,22,Terapia ocupacional,3,Medicina,2019-11-08 13:30:04,1
167,password167,Luz,Salas,1990-01-24,53777392,CC,omaribarra3,Estudiante,19,Fonoaudiologia,3,Medicina,2021-11-10 04:47:31,1
168,password168,Aurelio,Cárdenas,1997-07-19,60033127,CE,daniel7219,Estudiante,10,Ingenieria civil,1,Ingeniería,2023-04-15 11:45:47,1
169,password169,Wilmar,Morales,1986-12-24,35682017,CC,moranorma20,Profesor,20,Medicina,3,Medicina,2021-09-05 00:52:47,1
170,password170,Carlos,Martínez,1991-02-17,92694297,CE,jose379,Estudiante,14,Ingenieria industrial,1,Ingeniería,2022-01-18 16:19:17,1
171,password171,Fernando,Montes,1995-11-21,71427632,CC,david1016,Estudiante,22,Terapia ocupacional,3,Medicina,2018-04-24 20:04:04,1
172,password172,Jairo,Romero,1991-10-07,63156652,CC,hrubio4,Estudiante,22,Terapia ocupacional,3,Medicina,2023-01-16 16:35:57,1
173,password173,José,Espitia,2007-02-18,57614922,TI,fernando9418,Estudiante,15,Ingenieria mecanica,1,Ingeniería,2022-06-09 08:53:30,1
174,password174,Víctor,Torres,1993-04-06,34098175,CC,bustamanteaura12,Estudiante,15,Ingenieria mecanica,1,Ingeniería,2021-02-17 06:02:20,1
175,password175,José,Herrera,1996-10-16,61922056,CC,martinezbenjamin7,Estudiante,15,Ingenieria mecanica,1,Ingeniería,2017-05-27 18:01:04,1
176,password176,Kevin,Duarte,1995-04-22,29815661,CE,rodriguezeugenia11,Estudiante,3,Estadistica,2,Ciencias,2020-12-17 15:40:31,1
177,password177,Cristina,Anaya,1999-02-14,32171198,CE,silvaandrea9,Estudiante,3,Estadistica,2,Ciencias,2019-08-05 05:07:34,1
178,password178,Leydi,Hernández,1997-05-30,29533600,CC,berthagiraldo16,Estudiante,14,Ingenieria industrial,1,Ingeniería,2019-08-04 03:48:41,1
179,password179,Gloria,Mora,1998-11-24,46307680,CC,jose378,Profesor,10,Ingenieria civil,1,Ingeniería,2017-09-13 05:54:44,1
180,password180,Cristina,Sánchez,2000-07-18,35232146,CC,alicia9111,Estudiante,16,Ingenieria mecatronica,1,Ingeniería,2021-05-19 22:48:11,1
